audio_file,chunk_num,transcription,begin_secs,end_secs
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,0,I'M STEVE STROGATS AND THIS IS THE JOY OF GOR  UPONCAST FROM QUANTO MAGAZIN,0.0,9.9513125
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,1,THAT TAKES YOU INTO SOME OF THE BIGGEST UNANSWERED QUESTIONS IN SCIENCE AND MATH TO DAY IN THIS EPISODE WE'RE GOING TO BE TALKING ABOUT THE FUTURE OF COMPUTERS IN MATHEMATICS,9.9513125,19.902625
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,2,HOW MUCH MATH CAN A COMPUTER DO AND COULD COMPUTERS EVER GET REALLY GOOD AT IT MAY BE BETTER THAN THE BEST HUMAN MATHEMATICIANS IF THAT SOUNDS FAR FETCH,19.902625,29.8539375
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,3,WELL JUST REMEMBER WHAT HAPPENED IN CHEST NOT SO LONG AGO YOU PROBABLY HEARD ABOUT AN IB M COMPUTER CALLED DEEP BLUE WHICH MANAGED TO BEAT THE BEST,29.8539375,39.80525
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,4,HUMAN CHESSPLAYER IN THE WORLD GARRY CASPAROV BACK IN NINETEEN NINETY SEVEN DEEP BLUE OF COURSE BEING COMPUTER WAS VERY FAST IT COULD EVALUATE TO,39.80525,49.7565625
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,5,WO HUNDRED MILLION CHESS POSITIONS A SECOND AND IT BASED ITS VALUATIONS OF THOSE POSITIONS ON A GIGANTIC LIBRARY OF CHESS KNOWLEDGE THAT ITS PROGRAMMERS HAD,49.7565625,59.707875
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,6,BUILT INTO IT NOW IN A SIMILAR FASHION A SMALL BUT GROWING COMMUNITY OF MATHEMATICIANS HAS BEEN BUSY WRITING CODE IN A PROGRAMMING LANGUAGE CALLED LEAN,59.707875,69.6591875
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,7,THEY'RE BUILDING A LIBRARY OF MATHKNOWLEDGE FOR LEAN TO REFERENCE TO HELP HUMAN MATHEMATICIANS CHECK THEIR PROOFS ARMED WITH A KNOWLEDGE OF ALGEBRA GEOMETRY AND L,69.6591875,79.6105
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,8,OGIC THESE PROGRAMMES KNOWN AS PROOF ASSISTANCE DO THE BUSY WORK FOR PEOPLE CHECKING THEIR WORK RIGOROUSLY THIS FREES UP TIME,79.6105,89.5618125
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,9,END MENTAL SPACE FOR MATHEMATICIANS TO BE MORE CREATIVE RECENTLY LEAN HELPED ONE OF THE WORLD'S GREATEST MATHEMATICIANS PETER SCHOLTZA VERIFY THE ACCURACY OF,89.5618125,99.513125
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,10,A COMPLICATED PROOF THAT HE WAS WORKING ON THERE'S A A JUICY STORRY BEHIND THAT WHICH WILL GET TO BUT IT WAS KIND OF A BIG PUBLIC RELATIONS WHEN FOR THIS SOFTWAR SO THE Q,99.513125,109.4644375
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,11,ESTION IS WHAT CAN COMPUTERS DO FOR PURE MATHEMATICS NOW AND IN THE COMING YEARS WILL THEY EVER MOVE FROM BEING MERE PROOF ASSISTANCE TO,109.4644375,119.41575
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,12,GENUINE PROOF CREATORS AND IF SO WILL MATHEMATICIANS LIKE ME AND MY GUEST EVER BE OUT OF A JOB A NOT JUST OUT COMPUTED BUT OUT THOUGHT,119.41575,129.3670625
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,13,SO JOINING ME NOW IS KEVIN BUZZARD PROFESSOR OF PURE MATHEMATICS AT IMPERIAL COLLEGE LONDON WELCOME KEAVEN HI AND THANKS FOR HEAVEN ITL OL THANK YOU VERY MUCH FOR,129.3670625,139.318375
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,14,BEING HERE THIS IS A REALLY FASCINATING SUBJECT AN I'M THRILLED TO BE TALKING TO YOU ABOUT IT SO WHYN NIT WE START WITH WHAT LEAN IS COULD YOU SUMMERISE FOR,139.318375,149.2696875
podcasts/Ep8-JOW-LEAN_FINAL-with-NEWCREDITSMASTER6052022.mp3,15,OS WHAT IT IS WHY WAS IT CREATED IN THE FIRST PLACE I HAVE NO IDEA WHY MICROSOF DWROTELY IN THE FIRST PLACE TO BE QUITE FRANK BUT,149.2696875,159.221
