,chunk_start,chunk_end,text,confidence,episode_id,chunk_number,paragraph_number
0,0.018000000000000002,6.398,The following is a conversation with demouth casabas CEO and co-founder of deepmind.,0.8,,0,1
1,6.602,16.615,A company that has published and build some of the most incredible artificial intelligence systems in the history of computing including Al 40 that learned.,0.88,,1,1
2,16.828,30.299,All by itself to play the game of Go better than any human in the world and Alpha fold to that's solved protein folding both tasks considered nearly impossible for a very long time.,0.9,,2,1
3,31.088,40.678,Thomas is widely considered to be one of the most brilliant and impactful humans in the history of artificial intelligence and Science and Engineering in general.,0.8,,3,2
4,40.873,50.563,This was truly an honor and a pleasure for me to finally sit down with him for this conversation and I'm sure we'll talk many times again in the future.,0.88,,4,2
5,51.982,64.165,And now a quick view second mention if we sponsor check them out in the description that's the best way to support this podcast we got mailgun for email campaigns inside tracker for longevity on it for supplements,0.8,,5,3
6,64.018,72.609,indeed for hiring and Magic spoon for breakfast she was wise to my friends and now I want to the full ad reads as always no ads the middle,0.86,,6,3
7,72.498,79.082,I try to make this interesting but if you skip them please do check out our sponsors I enjoy their stuff maybe you will too.,0.88,,7,3
8,79.736,93.846,This show is brought to you by mailgun by cinch and email delivery service that I've used for many many years to have an API that allows you to programmatically send emails if you don't know what an API is the point is.,0.74,,8,4
9,93.861,99.607,It's a way for programs for code to interact with the service.,0.9,,9,4
10,99.991,106.503,You have an API for both transactional and marketing emails those are terms used by people,0.85,,10,5
11,106.338,125.137,much smarter about the stuff than me but I think transactional means specific to the person emails which is what I guess used its way to email certain people to notify them about the status of whatever the heck they're doing on the website and then there's marketing emails which is when you send an email,0.8200000000000001,,11,5
12,124.954,130.116,to a lot of people like the same email I guess transactional is super customized,0.84,,12,5
13,130.086,137.336,to an action that a person took and marketing is like a push email that you sent a lot of people in both of those,0.86,,13,5
14,137.297,150.002,two categories of how people often use email and so mailgun is service that makes it super easy for you to do that kind of thing you can go to Lex Friedman.com mailgun to learn more.,0.89,,14,5
15,151.457,159.364,This show is also brought to you by inside tracker a service that used to track biological data data that comes from my body.,0.91,,15,6
16,159.424,168.123,A lot of their plans that you can send out for include blood tests why blood test because a lot of really useful data comes from your blood and then they use.,0.79,,16,6
17,168.354,181.519,Machine learning algorithms to analyze that data so that includes blood data DNA data and even data from your Fitness tracker to provide you a clear picture what's going on inside your body this is the future,0.86,,17,6
18,181.489,185.021,anything you decide to do in your life should be based on data.,0.91,,18,6
19,185.216,194.356,From your entity from your being that means your biological body maybe one day that means from your brain as well.,0.91,,19,6
20,194.497,202.827,There'll be a brain computer interface device like neural link that collects data from your brain and is able to make suggestions.,0.76,,20,6
21,203.346,207.085,What kind of supplements to take what kind of dye changes to make.,0.86,,21,7
22,207.478,214.701,You can go to inside track a.com slash Lex and for a limited time you get special savings for being a listener of this very podcast.,0.8300000000000001,,22,8
23,215.364,223.55,This episode is also brought to you by on it and nutrition supplement and fitness company they have a thing called Alpha Brain which is a nootropic,0.91,,23,9
24,223.448,232.444,that helps you with the memory metal speed and focus you might know it because of mr. Joe Rogan which is probably the first time.,0.84,,24,9
25,232.865,240.574,I heard an honored read is one of the first podcast actually Joe's that I listen to.,0.8200000000000001,,25,10
26,241.273,247.289,Religiously I'm a huge fan of audiobooks and podcasts in general but there's something about.,0.84,,26,11
27,247.538,254.203,The authenticity the Joe projects that immediately connected with me and overtime,0.8,,27,12
28,254.137,263.727,his ability to be curious and apathetic a good listener but also be able to change his mind keep an open mind just some crazy ideas anyway,0.88,,28,12
29,263.589,274.251,I mentioned that because The Joe Rogan Experience introduced me to a lot of these kinds of products like on it that quickly became part of my life I guess podcast ad reads work.,0.8200000000000001,,29,12
30,274.257,281.228,Any way you can get a special discount on Alpha Brain if you go to the Lex Freeman.com on it.,0.6900000000000001,,30,12
31,282.602,297.54,This shows also brought to you by indeed a hiring website I've used them as part of many hiring efforts I've done for the team's of lead in the past they have indeed as the match that gives you quality candidates whose resumes that indeed figure job description immediately.,0.84,,31,13
32,297.879,307.802,I said this before I'll say it again there's very few things in life as important as the people you surround yourself with I'm somebody for whom the work I've done.,0.91,,32,14
33,308.268,322.296,Brings a lot of meaning and joy to my life even when I sold shoes at Sears shoes in the women's section that little community that you have as you try to figure out this new skill those people are.,0.89,,33,15
34,322.554,334.251,So instrumental to your happiness and to your Effectiveness to your growth as a human being so hiring is really really really important and that's why you should use the best tools for the job Indeed.,0.9,,34,16
35,334.257,343.659,Is one such tool they have a special offer for listeners that this podcast only available for a limited time check it out at indeed.com Lex.,0.79,,35,16
36,345.015,354.389,This episode is also brought to you by an oldie but a goodie magic spoon a low carb keto friendly cereal they were there from the beginning.,0.84,,36,17
37,355.034,363.842,I really love magic spoon it brings so much joy to my heart I don't care if this is not your thing please get it.,0.73,,37,18
38,364.28,373.222,Make it your thing because it's freaking delicious it has all the deliciousness of a cereal without any of the negative stuff like all the sugar it has,0.91,,38,19
39,373.129,381.36,zero g sugar 13 to 14 grams of protein only 49 grams of carbs 140 calories in each serving.,0.8300000000000001,,39,19
40,381.438,387.752,It's like I said keto friendly It's Magic I don't understand how it works I don't understand how it can be so delicious but.,0.89,,40,19
41,388.541,393.918,They have a lot of flavors I would say peanut butter is up there for me.,0.91,,41,20
42,393.978,399.662,Maybe top three maybe it's my second favorite by far my favorite is Coco.,0.84,,42,20
43,399.677,410.545,Magic spoon has a 100% happiness guarantee so if you don't like it they'll refund it get a discount on your order if you go to magic spoon.com Lex and use code Lex.,0.91,,43,20
44,411.911,421.051,This is a lot screaming podcast to support it please check out our sponsors in the description and now dear friends here's damus casabas.,0.89,,44,21
45,422.32,436.4,Music.,,,45,22
46,436.244,446.059,Let's start with a bit of a personal question am I an AI program you wrote to interview people until I get good enough to interview you.,0.85,,46,23
47,446.101,454.512,Well I've been pressed if you are being pressed by myself if you were I don't think we're quite up to that yet but maybe you're from the future Lex.,0.91,,47,23
48,454.645,460.634,If you did would you tell me is that is that a good thing to tell a language model that's tasked with interviewing.,0.86,,48,23
49,460.955,468.376,That it is in fact a I maybe when I kind of met her during test probably probably would be a good idea not to tell you,0.75,,49,24
50,468.301,476.883,so it doesn't change your behavior right this is a kind of Eisenberg uncertainty principle situation if I told you you behave differently yeah maybe that's what's happening with us of course,0.81,,50,24
51,476.826,484.787,this is a benchmark from the future where they replay 2022 as a year before a eyes were good enough.,0.84,,51,24
52,484.892,488.847,Yeah and now we want to see is it going to pass exactly.,0.91,,52,24
53,489.807,498.498,If I was such a program would you be able to tell do you think so to the Turing test question you've talked about.,0.8300000000000001,,53,25
54,499.152,507.5,The Benchmark for solving intelligence what would be the impressive thing you talked about winning a Nobel Prize in a system winning a Nobel Prize,0.87,,54,26
55,507.299,513.324,but I still return to the Turing test as a compelling test the spirit of the Turing test isn't compelling test,0.81,,55,26
56,513.15,528.799,yeah the cheering test of course it's been unbelievably influential and turing's one of my all-time Heroes but I think if you look back at the 1950 papers original paper and read the original you'll see I don't think you meant it to be a rigorous formal test I think it was more like a thought experiment,0.77,,56,26
57,528.733,538.774,almost a bit of philosophy he was writing if you look at the style of the paper and you can see didn't specify it very rigorously flow for example he didn't specify the knowledge that the expert,0.87,,57,26
58,538.645,543.077,or judge would have not been a how much time would they have to,0.78,,58,26
59,542.984,552.502,investigate this so these important parameters if you're going to make it a true sort of formal test and you know some by some measures,0.81,,59,26
60,552.49,554.294,people claim the Turing test passed,0.79,,60,26
61,554.273,564.304,several you know decade ago I remember someone claiming that with a kind of very bog-standard normal logic model because they pretended it was a it was a kid.,0.79,,61,26
62,564.31,566.159,So the the judges thought.,0.81,,62,26
63,566.21,577.6,That the machine you know was was a child so that would be very different from an expert a i person interrogating machine and knowing how it was built and so on so I think.,0.84,,63,27
64,577.615,591.815,You know we should probably move away from that as a formal test and move more towards General test where we test the AI capabilities on a range of tasks and see if it reaches human level or above performance on,0.85,,64,27
65,591.749,598.981,maybe thousands perhaps even millions of tasks eventually and cover the entire sort of cognitive space so I think.,0.9,,65,27
66,599.068,607.263,For its time it was an amazing thought experiment and also 1950s obviously there's barely the dawn of the computer age so of course he only thought about text.,0.91,,66,28
67,607.332,616.292,And now we have a lot more different inputs so yeah maybe the better thing to test is the generalizability so across multiple tasks but,0.91,,67,28
68,616.136,621.378,I think it's also possible as as systems like God will show that.,0.85,,68,28
69,621.439,628.76,Eventually that might map right back to language so you might be able to demonstrate your ability to generalize across tasks.,0.8,,69,28
70,629.117,639.572,By then communicating your ability to generalize across tasks which is kind of what we do through conversation anyway when we jump around ultimately what's in there in that conversation.,0.91,,70,29
71,639.614,642.363,Is not just you moving around knowledge.,0.84,,71,29
72,642.891,652.742,It's you moving around like this entirely different modalities of understanding that ultimately we mapped to your ability to.,0.84,,72,30
73,652.847,662.627,To operate successfully in all of these domains which you can think of as tasks yeah I think certainly we as humans use language as our main,0.89,,73,30
74,662.561,674.015,generalization communication tool so I think we end up thinking in language and expressing our Solutions in language so it's going to be very powerful mode,0.77,,74,30
75,673.886,680.811,and which to explain you know the system to explain what it's doing but I don't think it's the only.,0.8300000000000001,,75,30
76,680.889,690.75,Modality that matters so I think there's going to be a lot of you know there's a lot of different ways to express capabilities are other than just language.,0.87,,76,30
77,691.449,694.99,Visual robotics body language,0.74,,77,31
78,694.987,704.397,yeah actions the interactive aspect of all that that's all part of it but what's interesting with got so is that it's a it's it's sort of,0.86,,78,31
79,704.34,716.325,pushing prediction to the maximum in terms of like you know mapping arbitrary sequences to other sequences and sort of just predicting what's going to happen next so prediction seems to be fundamental to intelligence.,0.88,,79,31
80,716.881,720.565,And what you're predicting doesn't so much matter yeah,0.8300000000000001,,80,32
81,720.527,729.442,it seems like you can generalize that quite well so obviously language models predict the next word Gatto predicts potentially any action or any token,0.89,,81,32
82,729.421,740.037,and it's just the beginning really it's a most General agent one could call it so far but you know that itself can be scaled up massively more than we've done so far I'm obviously we're in the in the middle of doing that.,0.85,,82,32
